"X1"	"X2"
30849	33442
30849	41979
33442	41979
30872	31962
30872	45865
31962	45865
30882	31130
30882	31567
30882	33803
30882	36814
30882	39174
30882	40315
30882	41602
30882	42433
31130	31567
31130	33803
31130	36814
31130	39174
31130	40315
31130	41602
31130	42433
31567	33803
31567	36814
31567	39174
31567	40315
31567	41602
31567	42433
33803	36814
33803	39174
33803	40315
33803	41602
33803	42433
36814	39174
36814	40315
36814	41602
36814	42433
39174	40315
39174	41602
39174	42433
40315	41602
40315	42433
41602	42433
30882	32064
30882	40598
30882	42692
32064	40598
32064	42692
40598	42692
30882	36403
30882	40097
30882	40359
30882	40360
36403	40097
36403	40359
36403	40360
40097	40359
40097	40360
40359	40360
30882	32033
30882	40359
32033	40359
30882	31330
30882	32967
30882	32989
30882	34819
30882	38673
30882	39403
30882	40550
31330	32967
31330	32989
31330	34819
31330	38673
31330	39403
31330	40550
32967	32989
32967	34819
32967	38673
32967	39403
32967	40550
32989	34819
32989	38673
32989	39403
32989	40550
34819	38673
34819	39403
34819	40550
38673	39403
38673	40550
39403	40550
30882	40359
30882	36003
30882	39893
36003	39893
30882	33391
30882	40359
33391	40359
30882	33331
30882	34145
30882	41343
33331	34145
33331	41343
34145	41343
30890	36633
30890	37998
30890	38263
30890	39079
30890	39202
30890	39210
30890	42215
36633	37998
36633	38263
36633	39079
36633	39202
36633	39210
36633	42215
37998	38263
37998	39079
37998	39202
37998	39210
37998	42215
38263	39079
38263	39202
38263	39210
38263	42215
39079	39202
39079	39210
39079	42215
39202	39210
39202	42215
39210	42215
35102	38776
30947	31329
30947	32052
30947	36649
31329	32052
31329	36649
32052	36649
30972	31857
30972	33593
30972	40359
31857	33593
31857	40359
33593	40359
30973	31962
30973	32151
30973	34241
30973	35889
30973	36207
30973	40352
30973	41586
30973	47370
30973	49028
30973	49128
30973	49658
30973	49895
30973	51242
31962	32151
31962	34241
31962	35889
31962	36207
31962	40352
31962	41586
31962	47370
31962	49028
31962	49128
31962	49658
31962	49895
31962	51242
32151	34241
32151	35889
32151	36207
32151	40352
32151	41586
32151	47370
32151	49028
32151	49128
32151	49658
32151	49895
32151	51242
34241	35889
34241	36207
34241	40352
34241	41586
34241	47370
34241	49028
34241	49128
34241	49658
34241	49895
34241	51242
35889	36207
35889	40352
35889	41586
35889	47370
35889	49028
35889	49128
35889	49658
35889	49895
35889	51242
36207	40352
36207	41586
36207	47370
36207	49028
36207	49128
36207	49658
36207	49895
36207	51242
40352	41586
40352	47370
40352	49028
40352	49128
40352	49658
40352	49895
40352	51242
41586	47370
41586	49028
41586	49128
41586	49658
41586	49895
41586	51242
47370	49028
47370	49128
47370	49658
47370	49895
47370	51242
49028	49128
49028	49658
49028	49895
49028	51242
49128	49658
49128	49895
49128	51242
49658	49895
49658	51242
49895	51242
30982	31837
30982	32783
30982	33646
30982	33795
30982	34031
30982	34409
30982	35635
30982	36906
30982	38600
30982	41805
30982	42792
31837	32783
31837	33646
31837	33795
31837	34031
31837	34409
31837	35635
31837	36906
31837	38600
31837	41805
31837	42792
32783	33646
32783	33795
32783	34031
32783	34409
32783	35635
32783	36906
32783	38600
32783	41805
32783	42792
33646	33795
33646	34031
33646	34409
33646	35635
33646	36906
33646	38600
33646	41805
33646	42792
33795	34031
33795	34409
33795	35635
33795	36906
33795	38600
33795	41805
33795	42792
34031	34409
34031	35635
34031	36906
34031	38600
34031	41805
34031	42792
34409	35635
34409	36906
34409	38600
34409	41805
34409	42792
35635	36906
35635	38600
35635	41805
35635	42792
36906	38600
36906	41805
36906	42792
38600	41805
38600	42792
41805	42792
43833	51908
30999	35375
30999	37296
30999	37811
30999	39174
