"X1"	"X2"
30828	31952
30828	40023
31952	40023
30828	38048
30828	34792
30828	38436
30828	40072
30828	45202
30828	49185
34792	38436
34792	40072
34792	45202
34792	49185
38436	40072
38436	45202
38436	49185
40072	45202
40072	49185
45202	49185
30828	32928
30828	39483
32928	39483
30828	33178
30828	33219
30828	40317
30828	41606
33178	33219
33178	40317
33178	41606
33219	40317
33219	41606
40317	41606
30828	33646
30828	35188
30828	35334
33646	35188
33646	35334
35188	35334
41915	45060
30828	31772
30828	35839
30828	36972
31772	35839
31772	36972
35839	36972
30828	31772
30828	36173
30828	39375
30828	40094
30828	41104
30828	41316
31772	36173
31772	39375
31772	40094
31772	41104
31772	41316
36173	39375
36173	40094
36173	41104
36173	41316
39375	40094
39375	41104
39375	41316
40094	41104
40094	41316
41104	41316
30828	33219
30828	34682
30828	34792
30828	34901
30828	40072
30828	41271
30828	41599
30828	45024
30828	46029
30828	46845
30828	46899
30828	48243
30828	50274
33219	34682
33219	34792
33219	34901
33219	40072
33219	41271
33219	41599
33219	45024
33219	46029
33219	46845
33219	46899
33219	48243
33219	50274
34682	34792
34682	34901
34682	40072
34682	41271
34682	41599
34682	45024
34682	46029
34682	46845
34682	46899
34682	48243
34682	50274
34792	34901
34792	40072
34792	41271
34792	41599
34792	45024
34792	46029
34792	46845
34792	46899
34792	48243
34792	50274
34901	40072
34901	41271
34901	41599
34901	45024
34901	46029
34901	46845
34901	46899
34901	48243
34901	50274
40072	41271
40072	41599
40072	45024
40072	46029
40072	46845
40072	46899
40072	48243
40072	50274
41271	41599
41271	45024
41271	46029
41271	46845
41271	46899
41271	48243
41271	50274
41599	45024
41599	46029
41599	46845
41599	46899
41599	48243
41599	50274
45024	46029
45024	46845
45024	46899
45024	48243
45024	50274
46029	46845
46029	46899
46029	48243
46029	50274
46845	46899
46845	48243
46845	50274
46899	48243
46899	50274
48243	50274
30828	31857
34948	45791
34948	51864
45791	51864
30832	33584
30834	38256
30837	33335
30837	34583
30837	34748
30837	41459
30837	41969
33335	34583
33335	34748
33335	41459
33335	41969
34583	34748
34583	41459
34583	41969
34748	41459
34748	41969
41459	41969
30837	33577
30837	40498
30837	40775
30837	42115
33577	40498
33577	40775
33577	42115
40498	40775
40498	42115
40775	42115
30837	31040
30837	33062
30837	33577
30837	34180
30837	34748
30837	36337
30837	36916
30837	40585
30837	41458
30837	41459
30837	41488
30837	42043
31040	33062
31040	33577
31040	34180
31040	34748
31040	36337
31040	36916
31040	40585
31040	41458
31040	41459
31040	41488
31040	42043
33062	33577
33062	34180
33062	34748
33062	36337
33062	36916
33062	40585
33062	41458
33062	41459
33062	41488
33062	42043
33577	34180
33577	34748
33577	36337
33577	36916
33577	40585
33577	41458
33577	41459
33577	41488
33577	42043
34180	34748
34180	36337
34180	36916
34180	40585
34180	41458
34180	41459
34180	41488
34180	42043
34748	36337
34748	36916
34748	40585
34748	41458
34748	41459
34748	41488
34748	42043
36337	36916
36337	40585
36337	41458
36337	41459
36337	41488
36337	42043
36916	40585
36916	41458
36916	41459
36916	41488
36916	42043
40585	41458
40585	41459
40585	41488
40585	42043
41458	41459
41458	41488
41458	42043
41459	41488
41459	42043
41488	42043
30837	31040
30837	34748
30837	37080
30837	41459
31040	34748
31040	37080
31040	41459
34748	37080
34748	41459
37080	41459
30838	34264
30838	38275
30838	38334
30838	39971
34264	38275
34264	38334
34264	39971
38275	38334
38275	39971
38334	39971
30838	35102
30838	31822
30838	33582
30838	34228
30838	37638
30838	40084
31822	33582
31822	34228
31822	37638
31822	40084
33582	34228
33582	37638
33582	40084
34228	37638
34228	40084
37638	40084
30838	34264
30838	35101
30838	36560
30838	42543
34264	35101
