"X1"	"X2"
30882	36003
30882	39893
36003	39893
31837	36906
31837	41805
31837	42792
36906	41805
36906	42792
41805	42792
30999	36972
30999	34944
30999	39814
34944	39814
31037	32553
31037	33382
31037	36392
31037	39833
31037	41476
31037	41931
32553	33382
32553	36392
32553	39833
32553	41476
32553	41931
33382	36392
33382	39833
33382	41476
33382	41931
36392	39833
36392	41476
36392	41931
39833	41476
39833	41931
41476	41931
31980	34026
31980	40790
34026	40790
35513	37507
35513	38414
37507	38414
31230	33556
31230	38447
31230	42358
33556	38447
33556	42358
38447	42358
31265	31788
31265	35634
31265	37963
31265	46488
31788	35634
31788	37963
31788	46488
35634	37963
35634	46488
37963	46488
31265	31954
31265	38601
31954	38601
31270	32021
31270	34156
31270	37652
31270	38395
31270	38498
31270	40107
31270	41776
32021	34156
32021	37652
32021	38395
32021	38498
32021	40107
32021	41776
34156	37652
34156	38395
34156	38498
34156	40107
34156	41776
37652	38395
37652	38498
37652	40107
37652	41776
38395	38498
38395	40107
38395	41776
38498	40107
38498	41776
40107	41776
38776	39100
31394	32151
31394	34063
31394	36158
31394	42376
31394	43015
32151	34063
32151	36158
32151	42376
32151	43015
34063	36158
34063	42376
34063	43015
36158	42376
36158	43015
42376	43015
32151	38088
32151	41271
38088	41271
31407	31516
31407	33407
31407	39310
31516	33407
31516	39310
33407	39310
33364	38664
33364	49245
38664	49245
31424	33254
31424	36710
31424	39360
31424	39362
31424	41132
31424	41623
31424	42438
33254	36710
33254	39360
33254	39362
33254	41132
33254	41623
33254	42438
36710	39360
36710	39362
36710	41132
36710	41623
36710	42438
39360	39362
39360	41132
39360	41623
39360	42438
39362	41132
39362	41623
39362	42438
41132	41623
41132	42438
41623	42438
31463	31982
31463	45711
31463	50320
31982	45711
31982	50320
45711	50320
32052	34410
32052	36311
34410	36311
31581	41977
31607	34156
31607	36758
31607	36784
31607	41229
34156	36758
34156	36784
34156	41229
36758	36784
36758	41229
36784	41229
31617	33271
31617	34063
31617	35319
31617	51300
33271	34063
33271	35319
33271	51300
34063	35319
34063	51300
35319	51300
32062	35443
32062	36758
35443	36758
31716	34261
31716	41015
34261	41015
31744	32783
31744	33787
31744	36276
31744	36402
31744	40790
31744	46988
32783	33787
32783	36276
32783	36402
32783	40790
32783	46988
33787	36276
33787	36402
33787	40790
33787	46988
36276	36402
36276	40790
36276	46988
36402	40790
36402	46988
40790	46988
31772	35757
31772	36446
31772	38115
35757	36446
35757	38115
36446	38115
31800	34357
31800	41831
34357	41831
34120	34907
34120	36068
34120	38077
34120	38278
34120	38366
34120	39252
34120	41039
34120	41836
34120	41950
34120	42296
34907	36068
34907	38077
34907	38278
34907	38366
34907	39252
34907	41039
34907	41836
34907	41950
34907	42296
36068	38077
36068	38278
36068	38366
36068	39252
36068	41039
36068	41836
36068	41950
36068	42296
38077	38278
38077	38366
38077	39252
38077	41039
38077	41836
38077	41950
38077	42296
38278	38366
38278	39252
38278	41039
38278	41836
38278	41950
38278	42296
38366	39252
38366	41039
38366	41836
38366	41950
38366	42296
39252	41039
39252	41836
39252	41950
39252	42296
41039	41836
41039	41950
41039	42296
41836	41950
41836	42296
41950	42296
31951	40379
31984	36327
32027	45728
32027	41271
32027	42376
32027	45728
32027	50589
41271	42376
41271	45728
41271	50589
42376	45728
42376	50589
45728	50589
32105	37503
32105	41977
37503	41977
32115	41950
32151	33632
32151	35375
33632	35375
32369	34220
32369	34906
32369	35375
34220	34906
34220	35375
34906	35375
35974	37940
35974	38069
35974	38943
35974	39213
35974	40462
35974	41028
37940	38069
37940	38943
37940	39213
37940	40462
37940	41028
38069	38943
38069	39213
38069	40462
38069	41028
38943	39213
38943	40462
38943	41028
39213	40462
39213	41028
40462	41028
35087	41979
32775	33090
32775	39109
32775	42102
33090	39109
33090	42102
39109	42102
33014	36083
33092	34826
33139	37513
33139	40672
33139	41037
33139	42542
37513	40672
37513	41037
37513	42542
40672	41037
40672	42542
41037	42542
38023	40788
33324	34826
33324	40790
33324	42941
34826	40790
34826	42941
40790	42941
33364	39050
33396	41360
33429	33916
33429	36758
33429	39300
33916	36758
33916	39300
36758	39300
33429	39300
33429	41037
33429	42619
39300	41037
39300	42619
41037	42619
33577	38776
33787	35121
33787	36607
33787	44113
33787	47348
33787	47400
33787	48436
33787	48835
33787	49071
33787	50320
33787	51892
35121	36607
35121	44113
35121	47348
35121	47400
35121	48436
35121	48835
35121	49071
35121	50320
35121	51892
36607	44113
36607	47348
36607	47400
36607	48436
36607	48835
36607	49071
36607	50320
36607	51892
44113	47348
44113	47400
44113	48436
44113	48835
44113	49071
44113	50320
44113	51892
47348	47400
47348	48436
47348	48835
47348	49071
47348	50320
47348	51892
47400	48436
47400	48835
47400	49071
47400	50320
47400	51892
48436	48835
48436	49071
48436	50320
48436	51892
48835	49071
48835	50320
48835	51892
49071	50320
49071	51892
50320	51892
43231	45231
43231	45765
43231	49211
45231	45765
45231	49211
45765	49211
36451	38447
36451	39375
38447	39375
34125	36388
34125	37818
36388	37818
34764	40503
35087	41979
35121	35422
35121	35601
35422	35601
